baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrez
ENSG00000000003.16	12650.1438770343	-0.170948035554166	0.0396893960982289	-4.30714630001122	1.65374236536295e-05	7.18889506066115e-05	TSPAN6	7105
ENSG00000000005.6	281.195903531061	1.78734491337189	0.134836711574712	13.255625211399	4.18613607831734e-40	1.99892791025239e-38	TNMD	64102
ENSG00000000457.14	1192.20191877414	-0.198300140537173	0.0727825396287598	-2.72455648770486	0.00643879150143659	0.0184233905214923	SCYL3	57147
ENSG00000000460.17	2416.78954437621	-0.225043265383682	0.0545815411548593	-4.12306542875342	3.73863446730952e-05	0.00015545502557038	C1orf112	55732
ENSG00000001036.14	3527.71916694566	-0.130497978539635	0.0484962128067227	-2.6908900919691	0.00712616677185511	0.0201797300247453	FUCA2	2519
ENSG00000001084.13	5116.66912603394	-0.100164014378843	0.0428510700579243	-2.3374915549004	0.0194136395461852	0.049325784247444	GCLC	2729
ENSG00000001167.15	6869.18715898932	-0.277975415110944	0.0458063731224924	-6.06848777063403	1.29120246077214e-09	8.61637281108814e-09	NFYA	4800
ENSG00000001460.18	1662.506717787	-0.381216138128547	0.05939807517376	-6.41798807475424	1.3808706998139e-10	1.0105169133851e-09	STPG1	90529
ENSG00000001497.18	19500.7684616677	-0.245200268744334	0.035640678420421	-6.87978679451405	5.99422049430412e-12	4.93112136771041e-11	LAS1L	81887
ENSG00000001561.7	1698.06933859956	0.181427698403322	0.0643581758089261	2.81903108848152	0.00481688525697847	0.0141493477872327	ENPP4	22875
ENSG00000001617.12	574.457040530556	0.837366272585054	0.0933076067027672	8.97425517784951	2.8527532094326e-19	3.95678767766845e-18	SEMA3F	6405
ENSG00000001626.18	42.7981458624052	1.59930171779814	0.32893734682804	4.86202534683366	1.16190740165401e-06	5.7776383175124e-06	CFTR	1080
ENSG00000001629.10	3554.64095841475	-0.230779780092197	0.055049983993018	-4.19218614344132	2.76279156591431e-05	0.000116788527918775	ANKIB1	54467
ENSG00000001630.18	1221.61861235382	-0.510271422863018	0.0661019913726988	-7.71945613538307	1.16827115926301e-14	1.17378789104623e-13	CYP51A1	1595
ENSG00000002016.18	2214.21049037798	-0.189887592094361	0.0569250957911752	-3.33574479682823	0.000850712189932412	0.00288649654637839	RAD52	5893
