chr	start	end	n_bases_covered	log2_mean_cov
chr1	0	499999	506	-9.948572109236897
chr1	500000	999999	4309	-6.858428300820824
chr1	1000000	1499999	1438	-8.441717723491909
chr1	1500000	1999999	9301	-5.748395562889074
chr1	2000000	2499999	1451	-8.428733879864462
chr1	2500000	2999999	1736	-8.170014451486727
chr1	3000000	3499999	15802	-4.983746137911179
chr1	3500000	3999999	1230	-8.667123083704604
chr1	4000000	4499999	23396	-4.41759141019055
chr1	4500000	4999999	24952	-4.324697846557055
chr1	5000000	5499999	297356	-0.7497340230255672
chr1	5500000	5999999	19348	-4.691668861485344
chr1	6000000	6499999	12067	-5.372786254890717
chr1	6500000	6999999	19434	-4.685270430414864
chr1	7000000	7499999	22786	-4.455705617455323
chr1	7500000	7999999	9059	-5.786429595649451
chr1	8000000	8499999	13651	-5.194846665163553
chr1	8500000	8999999	106841	-2.22645982514882
chr1	9000000	9499999	27085	-4.206359213572791
chr1	9500000	9999999	11937	-5.388412999516313
chr1	10000000	10499999	21978	-4.507793197501491
chr1	10500000	10999999	44907	-3.4769129578974876
chr1	11000000	11499999	56824	-3.1373529139481415
chr1	11500000	11999999	4948	-6.658935898954837
chr1	12000000	12499999	56430	-3.1473909547994934
chr1	12500000	12999999	20632	-4.598969626141993
chr1	13000000	13499999	315	-10.632357665543928
chr1	13500000	13999999	25949	-4.268174362054447
chr1	14000000	14499999	35973	-3.7969388250684477
chr1	14500000	14999999	45574	-3.455642303868721
chr1	15000000	15499999	36937	-3.7587866080906456
chr1	15500000	15999999	39999	-3.6438893722086294
chr1	16000000	16499999	70049	-2.8354888490909547
chr1	16500000	16999999	22533	-4.471813900395925
chr1	17000000	17499999	59887	-3.0616104411175056
chr1	17500000	17999999	37105	-3.7522396973425556
chr1	18000000	18499999	15045	-5.054569197710507
chr1	18500000	18999999	52536	-3.2505469440291046
chr1	19000000	19499999	48427	-3.368041672063322
chr1	19500000	19999999	137938	-1.8579052554745947
chr1	20000000	20499999	118498	-2.077062499859733
chr1	20500000	20999999	22147	-4.496742017711958
chr1	21000000	21499999	24334	-4.3608798157601685
chr1	21500000	21999999	45667	-3.4527012864474456
chr1	22000000	22499999	95269	-2.3918464587866706
chr1	22500000	22999999	154768	-1.6918180003742855
chr1	23000000	23499999	66632	-2.9076381067568273
chr1	23500000	23999999	29029	-4.106358429967641
chr1	24000000	24499999	25310	-4.3041457969331605
chr1	24500000	24999999	35521	-3.8151811068510284
chr1	25000000	25499999	36888	-3.7607017335192796
chr1	25500000	25999999	14615	-5.096403475237792
chr1	26000000	26499999	17693	-4.82067461428612
chr1	26500000	26999999	218042	-1.1973191508430738
chr1	27000000	27499999	4775	-6.710280666120734
chr1	27500000	27999999	35687	-3.808454676938115
chr1	28000000	28499999	12561	-5.314901980469749
chr1	28500000	28999999	3104	-7.331652841744079
chr1	29000000	29499999	60093	-3.0566563575959154
chr1	29500000	29999999	67797	-2.8826318684962384
chr1	30000000	30499999	3954	-6.982468528201999
chr1	30500000	30999999	179213	-1.4802499160984552
chr1	31000000	31499999	39741	-3.6532251289031445
chr1	31500000	31999999	174261	-1.520675482269771
chr1	32000000	32499999	12864	-5.280513992752279
chr1	32500000	32999999	2181	-7.8407916292904565
chr1	33000000	33499999	11104	-5.492773831352946
chr1	33500000	33999999	90535	-2.4653776716903173
chr1	34000000	34499999	144349	-1.792364096378679
chr1	34500000	34999999	1262	-8.630069488948658
chr1	35000000	35499999	23730	-4.3971412038498965
chr1	35500000	35999999	74260	-2.7512679891891043
chr1	36000000	36499999	37201	-3.7485119014449517
chr1	36500000	36999999	38927	-3.6830821400689056
chr1	37000000	37499999	82185	-2.6049782000167085
chr1	37500000	37999999	54554	-3.196168322890689
